iso3,country.name,un.code,UNCTAD.list,income_HC,dac.code,M49_1,M49_2
PYF,French Polynesia,258,French Polynesia,H_HHC,NA,Oceania,Polynesia
QAT,Qatar,634,Qatar,H_NHC,561,Asia,Western Asia
ROU,Romania,642,Romania,L_NHC,77,Europe,Eastern Europe
RUS,Russian Federation,643,Russian Federation,L_LHC,87,Europe,Eastern Europe
RWA,Rwanda,646,Rwanda,L_LHC,266,Africa,Eastern Africa
SAU,Saudi Arabia,682,Saudi Arabia,H_LHC,566,Asia,Western Asia
SDN,Sudan,729,Sudan,L_LHC,278,Africa,Northern Africa
SEN,Senegal,686,Senegal,L_NHC,269,Africa,Western Africa
SGP,Singapore,702,Singapore,H_HHC,NA,Asia,South-eastern Asia
SLB,Solomon Islands,90,Solomon Islands,L_HHC,866,Oceania,Melanesia
SLE,Sierra Leone,694,Sierra Leone,L_HHC,272,Africa,Western Africa
SLV,El Salvador,222,El Salvador,L_HHC,342,Americas,Central America
SMR,San Marino,674,San Marino,H_HHC,NA,Europe,Southern Europe
SOM,Somalia,706,Somalia,L_HHC,273,Africa,Eastern Africa
SRB,Serbia,688,Serbia,L_NHC,63,Europe,Southern Europe
SSD,South Sudan,728,South Sudan,L_LHC,279,Africa,Eastern Africa
STP,Sao Tome and Principe,678,Sao Tome and Principe,L_HHC,268,Africa,Middle Africa
SUR,Suriname,740,Suriname,L_NHC,457,Americas,South America
SVK,Slovakia,703,Slovakia,H_NHC,69,Europe,Eastern Europe
SVN,Slovenia,705,Slovenia,H_LHC,61,Europe,Southern Europe
SWE,Sweden,752,Sweden,H_NHC,10,Europe,Northern Europe
SWZ,Eswatini,748,Eswatini,L_HHC,280,Africa,Southern Africa
SXM,Sint Maarten (Dutch part),534,Sint Maarten (Dutch part),H_HHC,NA,Americas,Caribbean
SYC,Seychelles,690,Seychelles,H_HHC,NA,Africa,Eastern Africa
SYR,Syrian Arab Republic,760,Syrian Arab Republic,L_LHC,573,Asia,Western Asia
TCA,Turks and Caicos Islands,796,Turks and Caicos Islands,H_LHC,NA,Americas,Caribbean
TCD,Chad,148,Chad,L_NHC,232,Africa,Middle Africa
TGO,Togo,768,Togo,L_LHC,283,Africa,Western Africa
THA,Thailand,764,Thailand,L_HHC,764,Asia,South-eastern Asia
THA,Thailand,764,Thailand,L_HHC,764,Asia,South-eastern Asia
TJK,Tajikistan,762,Tajikistan,L_HHC,615,Asia,Central Asia
TKM,Turkmenistan,795,Turkmenistan,L_LHC,616,Asia,Central Asia
